"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",45.5274321263806,-73.5799167305231,8.62385,5,4,21.7,1.7
"Clark / Prince-Arthur","Le Plateau-Mont-Royal",45.5133425123071,-73.57301607728,2.4312,10,7,14,3.6
"de Bleury / de Maisonneuve","Ville-Marie",45.5071063243396,-73.5686105489731,8.7273,8,7,21.5,1.2
"St-Dominique / Gounod","Villeray—Saint-Michel—Parc-Extension",45.5385915732697,-73.6277800798416,12.7506666666667,8,6,21.4,0
"Sherbrooke / Jeanne-d'Arc","Rosemont - La Petite-Patrie",45.5539815605889,-73.554963881561,1.92366666666667,9,3,19.8,0
"de Gaspé / Villeray","Villeray—Saint-Michel—Parc-Extension",45.5388872323008,-73.6239069700241,12.6206333333333,9,5,20.3,0
"Boyer / Rosemont","Rosemont - La Petite-Patrie",45.5340986680406,-73.5955345630646,3.82226666666667,6,2,26.7,0
"Guizot / St-Denis","Villeray—Saint-Michel—Parc-Extension",45.5434235482902,-73.6324618756771,2.91771666666667,8,6,22.4,0.2
"du Parc-La Fontaine / Roy","Le Plateau-Mont-Royal",45.5232203879173,-73.5691609382957,35.1540166666667,9,4,20.1,0
"Wolfe / Robin","Ville-Marie",45.519599088174,-73.5602007387297,5.87631666666667,8,4,23.6,0
"Hutchison / Beaubien","Rosemont - La Petite-Patrie",45.5260585101832,-73.6129689216614,24.6447333333333,5,2,14.5,1.4
"Durocher / Sherbrooke","Le Plateau-Mont-Royal",45.5070882905057,-73.5722798109055,16.55895,10,3,15.7,2.8
"19e avenue / St-Zotique","Rosemont - La Petite-Patrie",45.5616827573486,-73.5856479406357,14.6873666666667,9,1,17.8,0.2
"Durocher / Sherbrooke","Le Plateau-Mont-Royal",45.5070882905057,-73.5722798109055,28.8337833333333,7,3,23.3,3.5
"William / St-Henri","Ville-Marie",45.4989659185412,-73.5570308194292,20.45685,10,4,21.4,0
"Sherbrooke / Jeanne-d'Arc","Rosemont - La Petite-Patrie",45.5539815605889,-73.554963881561,30.2340333333333,6,3,28.7,0.2
"St-André / Rachel","Le Plateau-Mont-Royal",45.5240956132359,-73.5753715690407,23.9596666666667,9,5,20.4,0
"Peel / Ottawa","Le Sud-Ouest",45.4941995535705,-73.5599845647812,8.18295,7,7,23.8,0
"de Soissons / de Darlington","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5068991404994,-73.623526096344,6.36306666666667,7,2,22.6,0
"de Bordeaux / St-Zotique","Rosemont - La Petite-Patrie",45.5465343157011,-73.5986633598804,6.3837,8,3,14.2,21.2
"University / Prince-Arthur","Le Plateau-Mont-Royal",45.5074794530521,-73.5786473751068,20.8018333333333,5,6,12.8,0.5
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",45.5515851890843,-73.5991649329662,22.75965,8,2,15.5,1.7
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",45.5445008776237,-73.5881048440933,7.07076666666667,8,1,17.4,20.4
"Marcil / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.471743,-73.613924,4.78248333333333,6,6,19.8,0.7
"Drolet / Marie-Anne","Le Plateau-Mont-Royal",45.5224025734141,-73.5811766982079,4.91798333333333,9,1,15.7,0
"Mackay / de Maisonneuve","Ville-Marie",45.496840189747,-73.5792407642475,30.6985166666667,7,3,22.9,11.9
"Chomedey / de Maisonneuve","Ville-Marie",45.491750449904,-73.5839447379112,12.84595,5,3,23.8,4.1
"Cartier / Rosemont","Rosemont - La Petite-Patrie",45.541247223706,-73.5910445451736,9.74498333333333,8,4,26.8,0
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,2.59273333333333,5,1,22.1,0.2
"Richardson / Montmorency","Le Sud-Ouest",45.4849660611648,-73.5603225231171,10.4876666666667,8,2,22,0
"Bloomfield / Bernard","Outremont",45.5203381937083,-73.6077547073364,13.26145,9,2,15.7,0
"Métro Plamondon (de Kent / Victoria)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4946867527979,-73.6387186646789,22.1090833333333,10,7,14,3.6
"Milton / du Parc","Le Plateau-Mont-Royal",45.5093614283513,-73.5738636553288,19.4134666666667,10,6,13.9,1
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,26.3757666666667,5,5,14.2,0.2
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",45.5431024305305,-73.61607524188,60.3239,6,2,22.4,0.2
"St-Dominique / Bernard","Le Plateau-Mont-Royal",45.5279333201525,-73.6012225133891,18.1736333333333,7,6,25,0
"Jeanne-d'Arc / Ontario","Mercier - Hochelaga-Maisonneuve",45.5495976788718,-73.5418742895126,8.21831666666667,8,4,26.8,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",45.5274321263806,-73.5799167305231,19.3082666666667,5,4,14.5,0.7
"Bélanger / St-Denis","Rosemont - La Petite-Patrie",45.53696,-73.61199,5.19225,8,7,23.5,0.4
"Louis-Hémon / Jean-Talon","Villeray—Saint-Michel—Parc-Extension",45.5517742671765,-73.6034783723153,3.69035,9,7,16.9,0.2
"Clark / Prince-Arthur","Le Plateau-Mont-Royal",45.5133425123071,-73.57301607728,26.3595666666667,5,4,18.9,0.2
"Liébert / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.5958745749018,-73.5235279798508,5.68421666666667,6,4,21.5,20.2
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",45.4967606775214,-73.5702763560084,15.3213333333333,8,5,19.7,0
"du President-Kennedy / Union","Ville-Marie",45.5051022424836,-73.5718788206577,7.20671666666667,5,4,11,4.3
"Drummond / Sherbrooke","Ville-Marie",45.5005357522142,-73.578113079202,2.90793333333333,9,7,16.9,0.2
"Cathcart / McGill College","Ville-Marie",45.5011876814898,-73.570454878145,19.9962166666667,5,7,20.4,0.4
"Sherbrooke / Jeanne-d'Arc","Rosemont - La Petite-Patrie",45.5539815605889,-73.554963881561,35.2062666666667,7,2,24.8,0.5
"Murray / Wellington","Le Sud-Ouest",45.4922524772407,-73.558506667614,6.81388333333333,5,6,14.3,1
"Jeanne-Mance / Laurier","Le Plateau-Mont-Royal",45.5202763332061,-73.5949762166638,16.60415,5,2,17.7,0.3
"BAnQ (Berri)","Ville-Marie",45.5160138767067,-73.5629195719957,5.66145,6,2,22.4,0.2
"Messier / du Mont-Royal","Le Plateau-Mont-Royal",45.53711414,-73.5710031,12.4519166666667,5,5,20.3,0.6
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,1.54343333333333,6,2,23.3,1.3
"Parc Atwater (Saint-Charles)","Le Sud-Ouest",45.4773008834369,-73.5731447241051,4.08163333333333,6,3,28.7,0.2
"André-Laurendeau / Rachel","Rosemont - La Petite-Patrie",45.5430318724388,-73.5625648498535,8.01486666666667,5,5,20.3,0.6
"1ère avenue / Rosemont","Rosemont - La Petite-Patrie",45.54779995288,-73.5848674178123,17.9965,10,3,15.7,2.8
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",45.5677656517291,-73.5796880722046,18.78785,5,4,14.5,0.7
"Boyer / Rosemont","Rosemont - La Petite-Patrie",45.5340986680406,-73.5955345630646,4.09528333333333,5,1,15.3,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5101416240914,-73.6247518658638,30.3086666666667,5,3,11.7,5.7
